tweet,label
अबे काले कौवे कभी बकवास करने सए बाज मत आना ।। और कितना गिरोगे ??,1
ये कायर लोग है जो आज इन लोगो के सामने एक आदमी निर्दयता होकर दूसरे व्यक्ति को मार रहा है और ये लोग उसका वीडियो बना रहे है और उस व्यक्ति की मदद के लिए एक भी व्यक्ति आगे नही आया ये आज वो जो बड़े बड़े कैमरो के साथ मीडिया जाता था लेकिन आज नही जाएगा क्योंकि ये हिंदू धर्म का व्यक्ति है,1
बस अब बेचारा बांड्रा ही बेरोजगार बचा भी का अध्यक्ष बना दे न हरामखोर ☝😎,1
तेरा ज्यादा पेट दुख रहा हो तो तू दलित बन जा कर ले धर्म परिवर्तन और बन जा ओर थोड़ा बरनोल लगा ले तेरे पिछवाड़े मे तकलीफ दूर हो जाएगी मोदी से और फिर भी दूर ना हो तो पाकिस्तान चला जा तेरी जेसो की जगह वही है,1
"इन दोनों का खतना कब हुआ? मंदिर में तो कभी दिखे नहीं, ये कैसा दोगलापन है धर्मनिरपेक्षता का?",0
चोर चोर bhai भाई,1
"कम पीटा,और ज्यादा पीटना चाहिए हरामी गोहत्यारों को।।",1
"मेरी मोहब्बत को बकवास कहती है, और हर किसी के साथ मोहब्बत के नाम पर टाइम पास करती है!💔",0
सारे बेइमान कांग्रेस के साथ,1
वो जो भी लगे पर तुमको देख के लगता है कि रंडी ही हो,1
क्यूं वो भी चोकिदार की तरह चोर है क्या जो बोरी चोर लेगी 😛😛😂😂,1
तेजू भाई : PM में बनूगा 🐩 बुआ : PM में बनूगी 👩 ममता बानाें : PM में बनूगी टाेटीचाेर : PM में बनूगा पप्पू गांधी : सब बेबकूफ है जब तक में हूँ तब तक PM माेदी ही रहेंगे 💪,0
"*राममंदिर को लेकर BJP पर तंज कसने वालों से पूछना चाहता हूँ !श्री राम""क्या सिर्फ BJP&amp;RSS वालो के है।और बाकी सब बाबर की औलाद है क्या",1
उस पप्पू को कौन पूँछता होगा नौट्न्की ही कर रहा होगा,0
साली दोनो की टूटी का कवर नहीं है ।।।,1
जनेऊ तो पहले ही गुड गोबर था,1
😐हर लङकी का इमोशनल वैसी लङकी नहीं 😑😒 😥😓,0
नरेंद्र मोदी की विष्वसनीयता कम हुआ कि नही ये तो हमे नही पता पर तुम्हारे दिमाग मे पूरा गोबर भरा है ये पक्का है जो ऐसी पोस्ट करते रहते हो,0
हरामखोरों को बदलने में अभी काफी समय लगेगा,1
चुतिया तेरे पास और कोई काम नहीं है?,1
इ ससुरुे तो बड़का देशभक्त है अंडभक्त कहा,1
पागल पप्पू 😜😂😂,1
"एक कांग्रेसी रात को घर देर से पहुंचा तो उसकी पत्नी ने कहा ! ""खाना खाओगे"" या आज भी ""तलवे चाट"" के आए हो ??? 😜😛😛",1
साले हमे पागल समझ लियॉ है मोदी जी यह सब तेरे बाप को लाकर देते,1
दूसरे धर्म मे टांग अड़ाने वाले अपने धर्म की भी बात कर लिया करो कब तक अपनी अम्मी बहन ओ होती ही नही कब बीबी बन जाये पता नही हलाला से बाहर निकालो गे ।।,1
"शाखा पर प्रतिबंध लगाने वालों याद रखना संघ की सिर्फ पैंट बदली है, लट्ठ आज भी वही हैं पिछवाड़ा सुजा",1
तू तो कर लेता है न समय पे वफादारी ओर दलाली तू गोदि मिडिया का सबसे बडा सबूत है आ थू,0
पहले गधी को घोड़ी बनाया अब गधे को घोड़ा बना रहे हैं,0
चोर को सब चोर ही नजर आते है।,0
"संसद में बैठा कैमरा मैन भी लगता है जानबूझकर राहुलवा पर नजर बनाए रखता है, ताकि कौनो सूतियापंथी करे और लाइव दिखा 😂😂",1
"से अपनी मां सहित जमानत पर बाहर है राफेल के मुद्दे पर धोबी पछाड़ खाकर अखाड़े में गिर चुका है चारों खाने चित हो चुका है जिसे बुआ बबुआ ने नकार दिया है बेशर्म बेहया, इस देश की कुर्सी से इतना प्यार है देश से बाहर नहीं जाना चाहता",1
"साला मच्छर भी उल्टी करने लग गया,, जब कांग्रेसियों ने कहा कि👇 देश भक्ति हमारे खून में भी है 😂😄😋",1
तुने इस बार चमचा गिरि करने का कितने करोड लिये शादी का खर्चा चमचा गिरि मे से ही निकलेगा,1
किसी को बेइज्जत करना मोदी सरकार के काम अंधभक्तों से पूछना एक ही बात है पिछवाड़े में आग लग जाती है अंधभक्तों के काम पूछ लो अंध भक्तों से बेचारों की सूजने लगती है,1
ओर हाँ थूक कर चाटना केजरीवाल से सिखा है क्या तूने,1
राहुल फेल हुआ तो राफेल ले आए राफेल फेल हुआ तो EVM Hacking Show ले आए वो भी फेल हुआ तो साड़ी वाली प्रियंका ले आए। हद है ??,1
राहुल गाँधी जब अमेरिका में ड्रग और लाख USDollar ले जाते कस्टम में पकड़े गए थे!तब तत्कालीन पीएम अटल बिहारी बाजपेयी जी ने बचाया था! पढ़िए कांग्रेसी चमचों तुम्हे यही राहुल चाहिए बतौर पीएम! चुल्लू भर पानी मे डूब मरो कांग्रेसियो !,1
नरेंद्र मोदी और भाजपा दोनों भ्रष्टाचारी है : तेजस्वी यादव जैसे इसका बाप तो स्वतंत्रता संग्राम में अंग्रेजो के खिलाफ युद्ध की वजह से जेल काट रहा हैं 😕😆,1
"नकली पी एम एच ए एल का पेच लगाने लगे देश सुरक्षा जाये भाड मे 2G, CWG, COALGATE,AGUSTAA आदि की कमाई पचाने लगे दलाल मामा की निरंतर खोज मे समय बिताने लगे 8साल मे दलाल मामा तो न मिला सता खो बैठे आया चौकीदार बिना दलाली के देश सुरक्षा हेतु 36 राफेल खरीद डाले",1
RT sir_jenishpatel: थूक कर चाटना तो कोई दिल्ली के मालिक घुघरू शेठ से तो बदलने आये तो आम आदमी तो भ्रष्टाचार मुक्त करने पास 370 पन्नों का सबूत सब ब…,1
"हिन्दू लडकिया पढ़ लिख कर अधिक भ्रष्ट हो रही है मुस्लिम लड़के नाम बदल कर इन्हे आसानी सेअपने चंगुल फ़ांस लेते है,फिर धर्म परिवर्तन,फिर रखैल।",1
"मैंने जनता की समस्या काफी बार आपको बताई थी,पर आपके चमचे आप तक बात नही पहुंचते हैं,",1
राहुल! ई कौन है भाई हम तो इसको पप्पू के नाम से जानत रहा,0
