,marathi_text,label
0,मी तो मूर्ख आहे.,-1
1,आईने आत्महत्या केली आणि माझे वडील पळून गेले.,-1
2,- त्यांनी फक्त जॉयला मारले?,-1
3,मला माफ करा मी आज तिथेच केले नाही.,-1
4,"नाही, नक्कीच नाही.",-1
5,तुम्हाला अशा दुखापतीची गरज आहे.,-1
6,असं काहीतरी करायला मी किती वेडा झालो असेल?,-1
7,"क्षमस्व, हे फक्त कारण आहे की मी तिथे असू शकत नाही.",-1
8,"रॅच, मला माफ करा.",-1
9,आणखी कोणी घाबरले आहे का?,-1
10,याचा अर्थ माझ्यासाठी काहीच नाही!,-1
11,"""खूप जोरात.""",-1
12,तू टोनीशी ब्रेकअप करत आहेस?,-1
13,त्यामुळे मी कधीही अभिनेता होऊ शकत नाही.,-1
14,स्वत: ला असे करू नका.,-1
15,... मी सादर करण्यास सक्षम नाही ... ... लैंगिकदृष्ट्या.,-1
16,आपल्याकडे हिम्मत नाही.,-1
17,तो फक्त एक रीबाऊंड रूममेट आहे.,-1
18,मी तुम्हाला सांगत आहे की तो मेला आहे.,-1
19,इथून निघताना त्याला कसा घाम फुटला होता बघ?,-1
20,म्हणजे तुम्हाला ते मिळाले नाही.,-1
21,"ती कठीण, कठीण सामग्री आहे.",-1
22,अरे ते तर आहे-- नियंत्रणाबाहेरच्या जॅकेट्सचा एक समूह एका बेटाचा ताबा घेतो!,-1
23,मिस्टर सायमन वाट पाहत आहेत... अरे देवा!,-1
24,मी असा डिंगूस आहे!,-1
25,मला ती ऑफर का दिली गेली नाही?,-1
26,"हे खूप निराशजनक आहे, गोष्टी ज्या पद्धतीने काम करतात असे काम का नाही करत प्रत्यक्षात?",-1
27,दिवसाच्या शेवटी तुम्ही तुमचे जाकीट खुर्चीवर फेकता.,-1
28,माझा तुझ्यावर विश्वास बसत नाही... ...हे केले.,-1
29,नाही तो येऊ शकत नाही!,-1
30,मला तुम्हा दोघांना बाहेर काढायचे आहे.,-1
31,"
मोनिका, हा मूर्खपणाचा आहे.",-1
32,तुझ्या पायाला पँटी अडकली आहे.,-1
33,पण आपण त्या माणसाला हाताळू शकतो.,-1
34,"बरं, फ्रीझिंग म्युझियम ऑडिटोरियममध्ये चार तास कसे.",-1
35,तुझ्या आईच्या मृत्यूबद्दल काय?,-1
36,हे क्रमाने करणे चांगले.,-1
37,- तुला माझ्याकडून खूप धोका आहे.,-1
38,- खरंच नाही.,-1
39,तो कोणाला कसा नको असेल?,-1
40,डॉक्टर नेहमीच चुकीचे असतात.,-1
41,"निरोगी राहण्याचा आमचा प्रयत्न असूनही, आम्ही मूर्खपणाने चरबी-मुक्त कवच आणि अत्यधिक चीजची निवड केली.",-1
42,मला वाटते मी फक्त चिंताग्रस्त आहे.,-1
