tweet,label
"  लोकसभा निवडणूक २०१९ मध्ये @NCPspeaks चे निष्ठावान नेते आणि माझे स्नेही श्री. @SunilTatkare जी, रायगड लोकसभा मतदारसंघातून विजयी झाल्याबद्दल त्यांचं मनापासून अभिनंदन आणि त्यांच्या भावी राजकीय वाटचालीसाठी शुभेच्छा! pic.twitter.com/BPxp5aiDq9
",1
"  कोकण एज्युकेशन सोसायटीच्या पनवेल येथील विठोबा खंडाप्पा हायस्कूल व ज्यू. कॉलेजच्या शतक महोत्सव समारंभाच्या निमित्ताने उत्तम शैक्षणिक संस्थेच्या कार्यक्रमाला हजेरी लावली याचा आनंद होत आहे. शैक्षणिक संस्थांमार्फत अखंड ज्ञानदानाचा कार्यक्रम राबवणे याचा महाराष्ट्राचा मोठा इतिहास आहे. pic.twitter.com/8zk937vLrJ
",1
"  जुने पारगांव ता. हातकंणगले येथे बिरदेव मंदिरास संरक्षक भिंत बांधण्याच्या १०.०० लाख रूपये कामाचे उदघाटन करताना.
",1
"  आज महापराक्रमी छत्रपती संभाजी महाराज यांच्या जयंतीनिमित्त विनम्र अभिवादन आणि मानाचा मुजरा!

संभाजी महाराजांबद्दल अपशब्द काढून त्यांची गलिच्छ शब्दांत हेटाळणी करणाऱ्या गोळवलकरांचा आणि सावरकरांचा जाहीर निषेध!
#sambhajimaharajjayanti
#sambhajimaharaj
#Swarajyaveer_Sambhajiraje pic.twitter.com/NLhTL4SzVh
",1
"  जनता-जनार्दन हेच आमचे दैवत!
आणि या दैवताच्या दर्शनासाठी ही महाजनादेशयात्रा
अहमदपूर येथील जाहीर सभा...
#MahaJanadeshYatra pic.twitter.com/btDOWECwES
",1
"  ''तलवारीला कितीही धार असो, वार अडवायला ढाल लागतेच'' माझी ढाल.. माझा मास्क! 
#Sakal #SakalNews #MarathiNews #PuneCity #MPAmolKolhe #Coronavirus #Mask #Lockdown esakal.com/pune/mp-amol-k…
",1
"  अन्याय्य रूढी, जातीव्यवस्था आणि अस्पृश्यता दूर करण्यासाठी लेखन, वक्तृत्व आणि प्रत्यक्ष कृती ह्यांचा मेळ घालणारे, आमचे आजोबा स्व. प्रबोधनकार केशव सीताराम ठाकरे ह्यांची आज जयंती. त्यांच्या स्मृतीस विनम्र अभिवादन. pic.twitter.com/Yd6p1dVeue
",1
"  १४ फेब्रुवारी २०१९ रोजी जम्मू कश्मीरमधील पुलवामा येथे दहशतवाद्यांच्या भ्याड हल्ल्यात शहीद झालेल्या वीर जवनांना भावपूर्ण श्रद्धांजली !
#PulwamaAttack #Pulwamamartyrs pic.twitter.com/T0eUsX4Iq6
",-1
"  महाराष्ट्राचे माजी मुख्यमंत्री, लोकनेते सुधाकरराव नाईक यांना जयंतीनिमित्त विनम्र अभिवादन. pic.twitter.com/VzuhNjgxZT
",1
"  भारतीय स्वातंत्र्यलढ्यातील थोर आद्यक्रांतिकारक नरवीर उमाजी राजे नाईक यांना जयंतीनिमित्त विनम्र अभिवादन! pic.twitter.com/wPjtqPPXKZ
",1
"  खरंतर अशा कार्यक्रमात मी हातात माईक घेणे टाळतो. मात्र खाडे महाराजांनी उपस्थितांसमोर बोलण्याचा आग्रह केला. खाडे महाराजांचा शिष्य म्हणून मला आदेशाचे पालन करावेच लागले आणि म्हणून मी माझ्या भावना व्यक्त केल्या व उपस्थितांचे आभार मानले. pic.twitter.com/6nE0Un8fMv
",1
"  पुस्तक हा माणसाचा खूप चांगला मित्र आहे. कोरोना प्रादुर्भावाच्या पार्श्वभूमीवर सोशल डिस्टन्सिंग करताना घरातच बसण्याची वेळ आल्यावर लोक विचारतात तुम्ही काय करता आहात?
मी सांगतो... घरी पुस्तक वाचत आहे.
घरातच थांबा, सुरक्षित राहा! pic.twitter.com/15iswFJIux
",1
"  श्रेष्ठ कवी ,समाजसुधारक ,लोकशाहीर अण्णा भाऊ साठे यांच्या जयंती निमित्त विनम्र अभिवादन ! pic.twitter.com/wg9ldfSfSr
",1
"  आज शिवजयंतीचे औचित्य साधून संभाजीपूर ता. शिरोळ येथे ४ कोटी ९२ लाख रूपयाच्या राष्ट्रीय पेयजल योजनेच्या व विविध विकासकामाच्या उदघाटनप्रसंगी उपस्थित सावकर मादनाईक , राजेंद्र पाटील यड्रावकर ,सरपंच, उपसरपंच व मान्यवर.
",1
"  आज ""स्त्री मुक्ती दिन... ""भारतातील पाहिल्या शिक्षिका, 
मुख्याध्यापिका,स्त्री शिक्षणाच्या प्रणेत्या, विद्येची जननी 
व समस्त स्त्रियांना उजेडाची वाट दाखवणाऱ्याी 
""क्रांतीज्योती सावित्रीमाई फुले"" यांची आज जयंती
त्यांच्या क्रांतीकारी विचारांना कोटी कोटी प्रणाम !!
#NCP #WalsePatil pic.twitter.com/hxVsDZvUqd
",1
"  कवी कुसुमाग्रजांना जन्मदिनी विनम्र अभिवादन! मराठी भाषेचा सन्मान जपणाऱ्या संस्था आणि तिथला मराठी मनांचा राबता वाढायला हवा!
मराठी भाषा दिनाच्या सर्वांना मनपूर्वक शुभेच्छा! pic.twitter.com/fUHfoQHmKi
",1
"  सामाजिक जीवनात संपूर्ण आयुष्य वेचणारे आजकाल फार थोडके दिसतात. या सर्वांमध्ये ज्येष्ठ आहेत ते बाबा. बाबा आढाव! आजच बाबांना फोन केला. मी त्यांचे नव्वदीपूर्ती निमित्त अभीष्टचिंतन केले. बाबांचा आवाज त्यांच्या स्वभावाप्रमाणेच आजही मोकळा आणि स्पष्ट आहे.
",1
"  भाजपा महिला मोर्चाच्या राष्ट्रीय अध्यक्षा @VijayaRahatkar ताईंना वाढदिवसानिमित्त हार्दिक शुभेच्छा !
",1
"  महाराष्ट्रातील सहकार क्षेत्राला निर्णायक वळण देऊन विकास साधणारे प्रभावी माजी मुख्यमंत्री व सहकार महर्षी वसंतदादा पाटील यांना पुण्यतिथीनिमित्त विनम्र अभिवादन! pic.twitter.com/36fFQTuF7F
",1
"  भाजपा हटवण्याची ही प्रक्रिया आता सुरू झाली आहे असे नाही. याआधीच्या विधानसभा निवडणुकांमध्ये याचे पडसाद उमटले आहेत. ही पराभवाची मालिका आता थांबणार नाही. विकासाच्या कामात प्रोत्साहन देणारे शासन आम्हाला मिळायला हवे, हे सर्वच लोकांचे मत आहे.

#DelhiElectionResults
",1
"  बंगळूरु परिवहन सेवेला #Budget2020 मध्ये  वीस टक्के भागभांडवल दिलं जातं पण,मुंबई, पुणे, नागपूरच्या परिवहन सेवेचा साधा उल्लेखही नाही. गुजरातच्या गिफ्ट सिटीमध्ये आंतरराष्ट्रीय सोने-चांदी बाजाराची घोषणा होते, हे सारं मुंबई आणि महाराष्ट्राचं महत्त्व कमी करण्यासाठी तर नाही ना?
",-1
