Sentence1,Sentence2,Label
पण त्याने ही आत्महत्या का केली या मागची कारणं सध्या शोधण्यात येत आहेत,त्यामुळे त्याच्या आत्महत्येचे नेमके कारण शोधणे गरजेचे असल्याची प्रतिक्र‌िया उमटत आहे,P
रविवारी दुपारी १ वाजून १५ मिनिटांनी मुंबईहून कोल्हापूरला विमान येणार आहे,१५ जुलै २०१४ ला पंढरपूर ते बारामती या आरक्षण पदयात्रेला सुरुवात झाली,NP
"मेथी, पोकळा, शेपू, पालक, कांदा पात, करडा पेंढीचा दर १० रुपये होता","मुंबई कृषी उत्त्पन्न बाजार समितीमध्ये महाराष्ट्र, गुजरात आणि बंगळुरूमधून टोमॅटोची आवक होत आहे",NP
शिया धर्मगुरु मौलाना कल्बे जव्वाब यांनी संपूर्ण देशभरात मुहर्रम जुलूस काढण्याची परवानगी मागितली होती,शिया धर्मगुरू मौलाना कल्बे जवाब यांनी देशभरात मोहरमच्या मिरवणुका काढण्याची परवानगी मागितली होती,P
रेवा-शेखर हे जोडपं घटस्फोट घेण्याच्या उंबरठ्यावर असतात,रेवशेखर दाम्पत्य घटस्फोटाच्या मार्गावर आहे,P
१९९० च्या दशकात मुंबईत महानगर या वृत्तपत्राच्या कचेरीवर शिवसैनिकांनी हिंसक केला,1990 च्या दशकात मुंबईतील महानगर वृत्तपत्राच्या कार्यालयावर शिवसैनिकांनी हल्ला केला होता,P
करोनाचा प्रादुर्भाव रोखण्यासाठी विविध बंधने टाकण्यात आली होती,कोरोना विषाणूचा प्रसार रोखण्यासाठी विविध निर्बंध लादण्यात आले आहेत,P
तरुण कलाकारांचं कौतुक करण्याची उदार वृत्ती त्यांच्यापाशी होती,तरुण कलाकारांना दाद देण्याची त्यांची उदार वृत्ती होती,P
पर्यावरणाची हानी करून त्यावर गृहसंकुलांचा विकास केला जात आहे,त्यावर पर्यावरणाची हानी करून गृहसंकुले विकसित केली जात आहेत,P
शहरातील करोनाच्या संसर्गाचे प्रमाण अद्याप पूर्ण नियंत्रणात आले नसल्याने उत्सव साधेपणाने साजरा करण्याचे आवाहन महापालिका आणि पोलिसांनी केले आहे,शहरातील कोरोना संसर्गाचे प्रमाण अद्याप पूर्णपणे आटोक्यात आलेले नसल्याने हा सण साधेपणाने साजरा करण्याचे आवाहन पालिका आणि पोलिसांनी केले आहे,P
अभिनेता संजय दत्तला चौथ्या स्टेजचा कर्करोग असल्याचं स्पष्ट झालं आहे,रिपोर्टनुसार संजय दत्तला चौथ्या स्टेजचा कर्करोग असल्याचं स्पष्ट झालं,P
याची माहिती आसिफला मिळण्याआधीच तिने त्या रिक्षावाल्यासोबत पळ काढला,आसिफला काही कळण्यापूर्वीच तिने रिक्षावाल्यासोबत पळ काढला,P
अनिल माळवे याने शुभमच्या डोक्यात लोखंडी रॉड मारून गंभीर जखमी केले,अनिल माळवे याने शुभमच्या डोक्यात लोखंडी रॉडने वार करून गंभीर जखमी केले,P
मेट्रो मार्गापासून ५०० मीटर अंतरापर्यंत ४ एफएसआय मिळणार असल्याने मेट्रो मार्गावर नागरी वस्तीही झपाट्याने वाढेल,मेट्रो मार्गापासून ५०० मीटर अंतरापर्यंत ४ एफएसआय मिळणार असल्याने तिथे नागरी वस्तीही झपाट्याने वाढेल,P
मनाचे ऐकणे हिताचे ठरेल,त्याचा आवाज चांगला होता,NP
या वेबसाइटवर ऑनलाइन नोंदणी ५ जुलैपर्यंत करता येईल,या संकेतस्थळावर १६ एप्रिलला सकाळी ११ वाजतापासून ते १८ एप्रिलच्या सायंकाळी ५ वाजतापर्यंत नोंदणी करता येणार आहे,NP
तर चांदीचा भाव ८४१ रुपयांनी वाढला,चांदीच्या दरात 841 रुपयांची वाढ झाली आहे,P
हायकोर्टात चार सुनावण्या झाल्या,या सुनावणीकडे सर्वांचे लक्ष लागले आहे,NP
या आउटफिटमध्ये महानायक अमिताभ बच्चन कूल दिसत आहेत,मेगा हिरो अमिताभ बच्चन या आउटफिटमध्ये मस्त दिसत आहेत,P
