tweet,label
"काही चुतीये आज काल ट्विटर वर ह्याने/त्याने काय केलं, हा तुम्हाला काय बोलला, इथे कशी मारली तिथं कोणी मारली लक्षात ठेवा आणि मतदान करा सांगतात, अरे  त्याला अक्कल आहे आणि १८ पूर्ण आहेत म्हणूनच मतदान करणार आहे ना, मग तुम्ही का त्यांना झ शिकवताय..",1
चोर कोण ते सांग जरा अरे चुतीया तु कोन सांगणारा. परत जर चोर बोला तर घरात घूसून झ..... भोसडीच्या जरा विचार करून बोल.,1
हा चुतीया कोण आहे 🤔🤔,1
तुझी लायकी आहे का चव्हाण साहेब बढल बोलण्याची मुर्खा शेती चे तुला माहीत आहे का शेती आहे का तुला  भक्ताड्या नालायक,1
तु उत्तर दे रे पहिले...गाढवा,1
लावारिस औलादी आहेत त्या,1
ये अनाजी च्या सदया नरसाळ्या अवकात कशाला सोडतो रे भाड्या तुझी अवकात काय बोलतो काय छत्रपती यांचा अभिनय कोणीही करू नाव नीट घेयच  च्या,1
उरले नाही तर मांग कायले भोकाले धरणाच्या विषयावर गेला होता ता ???उडती काटे गांडीला लाऊन घ्या ची सवय नाही जात काय रे तुमची ?,1
हरामी साला 😡😡😡,1
शपथ घेतांना काही हरामखोर लांडे वंदे मातरम नाही म्हणार त्या दहा बापाच्या मुलांन मुळे पुर्ण मुसलमान भावांना दुख्ख सोसावे लागते.त्या लांड्याइच्या गांडी लाता मारुन वंदे मातरम म्हणवु,1
तुझी लायकीच ती आहे...,1
अरे बोलता तर तुलाच येत नाही ना तुझ्या थापाड्या लोकांना,1
"अरे ढापण्या तोंड बंद ठेव , काय लायकीचा आहेस ते बघ,तुला लेका वाचायला नीट येत नाही माकडा.माकडछाप कुठला.",1
"लाज वाटते चाट्या ..भारतात काय फक्त भक्त,पेड ट्रोलच राहतात काय तू काय पाकिस्तान मध्ये राहतो काय ? श्रद्धांजली द्यायची सोडून चाटूपणा कर फक्त",1
😂😂 कसले हरामी लोक आहेत हे,1
बेवड्या लवड्या बोलतो बापाला. 😂😂😂😂,1
"किती लाळ घोटेपणा कराल व श्री राहुल यांच्या तोंडातून उडालेली थुंकी झेलाल, मोदींविरोधासाठी देशाशी गद्दारी. तळवे चाटू साले!",1
चोकीदार चोर हे,1
"""भावसेना"" भाव न दिल्यास ""रावसेना"" सरकार स्थापन करणार ! - ""शवसेना""",0
डोकं आहे पण तेझात अक्कल नाही फक्त शेण भरले   पोरांचा डोक्यात,1
तिकडे दिल्लीत   आणि इकडे महाराष्ट्रात हे राहुल गांधींचे पिद्दी पत्रकार.,1
आणी ह्यांचे  तर विचारुच नका. चार किल्यांची नावे विचारली तर सांगता येणार नाहीत पण हे चोमु असे दाखवतात की जणु काय हेच मावळ्यांचे वंशज आहेत.... आणी त्यातील बरेच जण मटनकरी ला फाँलो करतात...😂😂,1
लावारीस...वडिलांनी तुझा स्वीकार केला नसेल आणि नाव नसेल तर मी द्यायला तयार आहे लावारीस कुठल्या..😂😁😀,1
जेलची  धमकी आम्हाला देऊ नकोस लावारीस भक्ता नो,0
यारदिलकाचश्माबनवाहीलेसच्ची,0
साला गद्दार देश द्रोही,1
मुल्ला सप्पोटेड!😆,0
भाग भोस* आंधी आई 😂,1
पहिला आठवडा जो बोलतोस ना ते सध्या बेस्ट फ्रेंड्स आहेत आणि दुसरा आठवडा तुझ्या साठी एडिटिंग केला असेल म्हणून तुला शिव्या दिसल्या आणि तिसरा आठवडा म्हणतोस ना अरे बिनडोक माणसा बिग बॉस ला अजून कोणीही शिवी नाही दिली आणि कोनाच्यात ही दम नाही शिवी द्यायला आणि एक सांगतो ती राणीच आहे .,1
लय हाणला आसल पेंटर ला😁राजू पेंटर तर नव्हता ना🤔😂😁😀,0
तुरड चिंचा,0
सत्तापिपासू कुत्र्यानो संविधानला खरचं मानत आसाल तर संविधानदिनाच्या पुर्वसंधेला रात्रीत पळवलेली खुर्ची खाली करा...........,1
माझा छकुला आहे यात❤,0
"मला वाटते की,स्त्रीयांनी यासारख्या नीच प्रकारापासून स्वःताला वाचवायचे असेल तर पुलिस विसंबुन न राहाता स्वःता कठोर बनून अश्या हरामी औलादिला धड़ा शिकवन्याची ताकत ठेवली पाहिजे. यांना जागेवर नपुंसक बनवन्याची ताकत अंगी बाळगली पाहिजे.",1
बाई आता का पळताय ब्लाॅक करुन? पवारांच्या बारामतीबद्दल बोललात तुम्ही आता परीनांना सामोरं जायची तयारी ठेवा. उंटाच्या बोच्याचा मुका घ्यायचा प्रयत्न केलाय तुम्ही. आपली लायकी बघुन तरी बोलायचं दीड दमडी .,1
अरे कीती लाचार झालेले आहेत तुम्ही,1
लाज वाटली पाहिजे तुम्हाला. उघडा डोळे बघा नीट. त्या पोलिसाला रक्तबंबाळ करून तो हि*डा बायकांच्या मागे लपत होता. यांच्याच भाऊबंदांनी आझाद मैदानात महिला पोलिसांच्या अब्रूला हात घातला होता. तोंड शिवलं होतं का तेंव्हा?,1
बरोबर आहे मित्रा मित्रहो बोललो नाही त्यांना चोरी करायची होती म्हणून ची खोटे नैटंकी केली निवडणूक आयोगाने हा पण चैकीदार चोर नीघाला,1
दुतोंडी ...... म्हणायचं का? 😉😝,0
गुजराती सांड ,0
चूनावी जुमला,0
त्या कृत्रीम फिल्मी लाईन मधल्या लोकांना दिलं की आधाच्यांनी,0
तुझा बाप शेतकरी असता तर तू असा भुंकत नसता,1
लुंगी आणि चप्पल घालून कोण कसा पळू शकतो  चिंबरम,1
पोराला विचर तु बाप दिसतो की मि तोच सांगेल तुला.,1
ते भाषण करताना आपण मुख्यमंत्री आहोत हे कदाचित विसरतात एक प्रशासकीय पद याच भान नसते....कसेही उगाच बो........,0
तुझ्या बारामती च्या बापाला तरी स्वतः च्या दमावर सत्ता मीळवता येते का??,1
चाटा आजुन तळवे चाटा...,1
पेटता पेटता बोलली रे चिताजा मुलांनो आता संपली रे कथा..कवी काशीनंद विनम्र अभिवादन🙏,0
मेंदू मातोश्री वर गहाण ठेवला असणार. सध्या खिशात ठसन घेऊन फिरत आहेत 😂😂,1
नालायक पणाचा कळस हा महाराष्ट्र टाईम्स चा हा निर्णय 2005 साली तत्कालीन  बँकेत सुरू करण्यात अली होती फडणवीस यांच्याशी याचा काही ही संबंध नाही. लाज वाटुद्या महाराष्ट्र टाईम्स खोट्या बातम्या पसरवताना.व्हाट्सएपच्या विद्यापीठ मध्ये शिकलेल्या पत्रकार अजून काय करणार.,1
साला खजैला कुत्ता. ./18/…,1
औरंगाची औला द आज रूप दाखवत आहे......अरे असे फितूर बहु झाले स्वराज्याला हाथ लावू देणार नाही.... लाचार सरकार.,1
भाग बे भोसरी के दल्ला साला चमचा,1
जनतेला मूर्ख नका बनवू ./_…,0
"या देशाचं दुर्देव आहे की,देशाच्या इतिहासांत असा खोटारडा ,नाटकी आणि डरपोक पंतप्रधान जनतेने निवडून दिला",1
काळ्या मातीत मातीत पेरलंय सोनत्याचा होऊन बसलाय जुगार जुगार,0
