datetime,tweet,hate,sentiment,profanity
2022-03-02 09:34:24+00:00,"Hech ka tumche, savidhan,msrtc workers,120diwas zhle samp chalu ahe 104kamgar mele,",0.0,-1.0,0.0
2020-02-28 16:13:13+00:00,"@USER @USER Mee baghun pahila pan mala kahi arth milala nahi. Punha pahun baghto, shodhtoy te bhetla ki nakki sangto",0.0,0.0,0.0
2021-12-17 17:32:11+00:00,@USER  Aata kay mhanyach hya murkh lokanna,1.0,-1.0,0.0
2010-09-04 17:53:54+00:00,@USER he tar tu sachin chya style madhe sangitla... Aila,0.0,0.0,0.0
2019-09-28 15:05:20+00:00,@USER @USER Lachar jhala ahai tumhi bjp somar disun yet ahai te samna made ek bolta itha ek bolta kay ahai he lokanna Kalil a tumchi ata,1.0,-1.0,0.0
2012-01-10 15:00:44+00:00,@USER bore hota ahe fb atta mahanun thoda twitter war timepass kartoy...,0.0,0.0,0.0
2009-08-24 14:40:13+00:00,@USER asa kasa? tumchya kade kuthe kothimbeer chi vadi aahe ?,0.0,-1.0,0.0
2022-11-09 03:49:16+00:00,@USER @USER Te 50khoke peksha Maharashtra madhlya shetkari yancha karja maaf kela asata...,0.0,-1.0,0.0
2020-12-07 15:33:33+00:00,@USER @USER @USER Shrikant Deahmukh Dr. Kay bolatat kase bolatat jra neet vacha Ani reply dya tumhi tyana kase bolat ahat hech ka tumche sanskar,0.0,-1.0,0.0
2023-01-13 10:40:33+00:00,@USER Madam tumcha baap,1.0,0.0,0.0
2013-09-24 04:17:20+00:00,ye vedya kashala udyog kartoy.,1.0,-1.0,0.0
2015-09-06 18:27:54+00:00,@USER Laaj vatale amhala aslya sarkar baddl.. neun thevlay maza..:-(,1.0,-1.0,0.0
2020-01-13 08:27:07+00:00,@USER @USER Yana zodal pahije,1.0,-1.0,0.0
2012-06-11 15:54:33+00:00,:-)aata ratra zali aapla ghartta javal karayla pahije.,0.0,0.0,0.0
2010-09-15 06:36:25+00:00,Ho..tumchya kade ??? RT @USER Great...Tumchya kade Gauri astat ka..? RT @USER Aaj Mast puran poli khaychi..,0.0,1.0,0.0
2014-03-09 06:43:00+00:00,@USER punyat kuthe yetoyas ?,0.0,0.0,0.0
2022-07-05 20:19:10+00:00,@USER tuja shashank nahi khadus pahije hota sevt la,1.0,-1.0,0.0
2022-07-16 04:29:22+00:00,"@USER @USER laj vatayla havi tumhala,mulanchi ky hal behal hotat ahe ya kde laksh ny nirlaj tumche nete Ani tumhi sudha..",1.0,-1.0,1.0
2012-09-14 10:53:33+00:00,"@USER palpendiculal,tumhala tawaab nahin,kya kiye ho bhaiya :) superb ! Excellent work ,ready for supporting nominee this filmfare",0.0,1.0,0.0
2017-02-27 17:13:08+00:00,@USER Tuza aavaj itka goad aahe ki lokanna avadnarach,0.0,1.0,0.0
2022-08-08 14:54:01+00:00,"@USER @USER Sir,2019-21 ZP Arogya Vibhag Bharti Exam tarkha lavkar jahir kara please.",0.0,0.0,0.0
2012-07-22 03:16:13+00:00,"Wahito Dil pune Ka ho to Jane aap yaha ki jannat:-P ""@USER @USER me pan punyachich ahe but i prefer mumbai than pune""",0.0,1.0,0.0
2011-04-01 03:55:38+00:00,@USER Kar na connect mi sangitla na tula,0.0,0.0,0.0
